date,code,prt_stock,prt_rate_b,prt_cred_b,prt_conv_b
2022/3/31,000107.OF,0.118816538,0.339699211,0.492045138,0.030324895
2022/6/30,000107.OF,0.128930655,0.269635096,0.529992712,0.032413285
2022/9/30,000107.OF,0.15142024,0.326934032,0.462920499,0.045176444
2022/12/31,000107.OF,0.110161438,0.372095499,0.465591216,0.038542686
2019/12/31,000110.OF,0.16889019,0.063006434,0.660053933,0.003753445
2020/3/31,000110.OF,0.340232811,0.487411346,0.000452542,0.046471782
2020/6/30,000110.OF,0.348931389,0.463446312,0.085377426,0.081871529
2020/9/30,000110.OF,0.22795681,0.651641762,0.043237211,0.004634652
2020/12/31,000110.OF,0.265922985,0.672239707,0.041953389,8.74E-05
2021/3/31,000110.OF,0.235707016,0.70507277,0.041861816,0
2021/6/30,000110.OF,0.237920132,0.745588799,0.000132863,0.000276797
2021/9/30,000110.OF,0.222288704,0.730726184,0.000129736,0.000449394
2021/12/31,000110.OF,0.238779278,0.734863564,0.012706459,0.000484177
2022/3/31,000110.OF,0.217291737,0.69678772,0.013905031,0.000466535
2022/6/30,000110.OF,0.248158398,0.649546585,0.016541792,0.001572679
2022/9/30,000110.OF,0.237103481,0.566101456,0.112318397,0.002434258
2022/12/31,000110.OF,0.214251061,0.324748039,0,0
2019/12/31,000118.OF,0.16680069,0.251536379,0.062569418,0.425687981
2020/3/31,000118.OF,0.188625813,0.099432778,0.461588626,0.232002659
2020/6/30,000118.OF,0.176916294,0.120364202,0.514513136,0.160184765
2020/9/30,000118.OF,0.164134293,0.155148156,0.502595994,0.146191855
2020/12/31,000118.OF,0.147475271,0.1907479,0.505753775,0.107200184
2021/3/31,000118.OF,0.176209736,0.129101826,0.525508494,0.131526995
2021/6/30,000118.OF,0.183259087,0.132036958,0.498684421,0.167177944
2021/9/30,000118.OF,0.181872921,0.139517127,0.484909962,0.173568211
2021/12/31,000118.OF,0.180754318,0.238470699,0.427683343,0.125917721
2022/3/31,000118.OF,0.18481699,0.248797463,0.433525506,0.129282713
2022/6/30,000118.OF,0.175181656,0.251267046,0.33452087,0.153497744
2022/9/30,000118.OF,0.187373371,0.340202807,0.354379989,0.112308531
2022/12/31,000118.OF,0.166776447,0.357818184,0.381204872,0.091144943
2019/12/31,000121.OF,0.265730782,0.042891154,0.41415154,0.249073105
2020/3/31,000121.OF,0.238780346,0.047925035,0.401547602,0.27893755
2020/6/30,000121.OF,0.211277618,0.122688161,0.270437888,0.231399708
2020/9/30,000121.OF,0.262310219,0.072075677,0.439286017,0.197327042
2020/12/31,000121.OF,0.27697094,0.164946547,0.356380453,0.155587902
2021/3/31,000121.OF,0.263242321,0.32877779,0.284901257,0.105511932
2021/6/30,000121.OF,0.159617682,0.200646601,0.411687536,0.126107788
2021/9/30,000121.OF,0.219411411,0.163498502,0.453572784,0.126496677
2021/12/31,000121.OF,0.267308826,0.287093115,0.291953268,0.136905994
2022/3/31,000121.OF,0.275594254,0.293741517,0.281001515,0.133683939
2022/6/30,000121.OF,0.242922497,0.340296254,0.256915803,0.150048456
2022/9/30,000121.OF,0.206581993,0.430188847,0.205873442,0.143555784
2022/12/31,000121.OF,0.203350506,0.395472126,0.258402052,0.123300123
2019/12/31,000130.OF,0.015740021,0.127352848,0.758191838,0.0664607
2020/3/31,000130.OF,0,0.080069029,0.822415664,0.070208941
2020/6/30,000130.OF,0,0.039883456,0.87764432,0.055255504
2020/9/30,000130.OF,0.002959412,0.050882783,0.683277431,0.129091587
2020/12/31,000130.OF,0,0.049700082,0.78232063,0.119630976
2021/3/31,000130.OF,0,0.142358308,0.599402356,0.128140841
2021/6/30,000130.OF,0,0.211882663,0.591054177,0.159472599
2021/9/30,000130.OF,0,0.357632241,0.372577739,0.197425137
2021/12/31,000130.OF,0,0.407114544,0.395470772,0.161475887
2022/3/31,000130.OF,0,0.23557128,0.660468292,0.089346552
2022/6/30,000130.OF,0,0.582504096,0.275393968,0.12680294
2022/9/30,000130.OF,0,0.555706387,0.268334923,0.080553265
2022/12/31,000130.OF,0.000828186,0.586039662,0.314661331,0.075505977
2019/12/31,000142.OF,0.189268913,0.415552826,0.286723609,0.064723306
2020/3/31,000142.OF,0.142092838,0.485688877,0.295686836,0.043121204
2020/6/30,000142.OF,0.047115903,0.666688942,0.153233525,0.026095371
2020/9/30,000142.OF,0.14337286,0.565101814,0.203049107,0.046237736
2020/12/31,000142.OF,0.173674355,0.610263352,0.071650214,0.127264061
2021/3/31,000142.OF,0.147969494,0.336092377,0.088046722,0.384232254
2021/6/30,000142.OF,0.160044422,0.286239443,0.071042891,0.445730972
2021/9/30,000142.OF,0.143854246,0.276700449,2.86E-08,0.533617592
2021/12/31,000142.OF,0.145641375,0.509429016,0,0.273209534
2022/3/31,000142.OF,0.158354826,0.478070173,0.04500947,0.288336144
2022/6/30,000142.OF,0.178630829,0.43232769,0,0.369519157
2022/9/30,000142.OF,0.12262804,0.512010546,2.86E-08,0.301354141
2022/12/31,000142.OF,0.065403852,0.755190268,9.54E-09,0.078609619
2019/12/31,000143.OF,0.104500179,0.078659196,0.683635612,0.083178825
2020/3/31,000143.OF,0.081199942,0.111009901,0.703595135,0.041150274
2020/6/30,000143.OF,0.151122561,0.08844438,0.577786261,0.118931332
2020/9/30,000143.OF,0.117359543,0.176986613,0.626256714,0.045689855
2020/12/31,000143.OF,0.160571899,0.164529781,0.51605598,0.06896441
2021/3/31,000143.OF,0.127194681,0.158235793,0.62723186,0.041215544
2021/6/30,000143.OF,0.144577189,0.075063217,0.622438223,0.038771524
2021/9/30,000143.OF,0.131885824,0.093993969,0.704415031,0.027033582
2021/12/31,000143.OF,0.156960917,0.118970752,0.59637969,0.043115592
2022/3/31,000143.OF,0.164805164,0.09091938,0.686620548,0.037581074
2022/6/30,000143.OF,0.165886211,0.084443555,0.637609267,0.083067188
2022/9/30,000143.OF,0.13690342,0.103175573,0.64425704,0.081666737
2022/12/31,000143.OF,0.143202171,0.077376306,0.654794457,0.100401106
2019/12/31,000149.OF,0.012020721,0.056343703,0.816280198,0.090081253
2020/3/31,000149.OF,0.030623629,0.087804072,0.772318342,0.090749245
2020/6/30,000149.OF,0.02622175,0.070681381,0.736959105,0.137522478
2020/9/30,000149.OF,0.010989606,0.077349405,0.750131226,0.131362448
2020/12/31,000149.OF,0.005729982,0.065411148,0.779803925,0.110197372
2021/3/31,000149.OF,0.016276784,0.048077188,0.834877784,0.037386444
2021/6/30,000149.OF,0.007808489,0.09231616,0.825783029,0.050622048
2021/9/30,000149.OF,0.017997649,0.054290838,0.757010303,0.072498755
2021/12/31,000149.OF,0.011730814,0.074261322,0.754510441,0.113944302
2022/3/31,000149.OF,0.018792318,0.164912672,0.753083396,0.046562724
2022/6/30,000149.OF,0.006886804,0.114608469,0.695880528,0.110667925
