基金代码,基金简称,基金成立日,修正基金成立日,成立年限,基金标签,投资类型(二级),基金经理(现任),基金公司,是否定期开放基金,管理费(%),托管费(%),申购赎回状态,基金规模(合计)
002986.OF,泰康丰盈,2016/8/24,2016/8/24,5.53,平衡型,混合债券型二级基金,"任慧娟,陈怡",泰康资产,否,0.7,0.2,开放申购|开放赎回,18.2
003026.OF,安信新价值A,2016/8/19,2016/8/19,5.54,平衡型,灵活配置型基金,"钟光正,梁冰哲",安信基金,否,0.8,0.1,开放申购|开放赎回,1.03
003028.OF,安信新优选A,2016/7/28,2016/7/28,5.6,激进型,灵活配置型基金,"庄园,张明",安信基金,否,0.6,0.1,暂停大额申购|开放赎回,3.84
003030.OF,安信新目标A,2016/8/9,2016/8/9,5.57,稳健型,灵活配置型基金,"聂世林,钟光正",安信基金,否,0.6,0.1,开放申购|开放赎回,10.45
003044.OF,东方红战略精选A,2016/8/30,2016/8/30,5.51,平衡型,偏债混合型基金,"纪文静,胡伟",东证资管,否,0.7,0.2,暂停申购|暂停赎回,50.05
003062.OF,银华通利A,2016/8/5,2016/8/5,5.58,平衡型,灵活配置型基金,赵楠楠,银华基金,否,0.6,0.15,开放申购|开放赎回,5.33
003105.OF,光大永鑫A,2016/8/19,2016/8/19,5.54,平衡型,灵活配置型基金,"詹佳,唐钰蔚",光大保德信基金,否,0.6,0.1,暂停大额申购|开放赎回,9.99
003107.OF,光大安祺A,2017/1/11,2017/1/11,5.14,平衡型,混合债券型二级基金,黄波,光大保德信基金,否,0.3,0.1,开放申购|开放赎回,20.62
003109.OF,光大安和A,2017/1/5,2017/1/5,5.16,稳健型,混合债券型二级基金,"沈荣,詹佳",光大保德信基金,否,0.3,0.1,开放申购|开放赎回,14.32
003115.OF,光大诚鑫A,2016/12/15,2016/12/15,5.22,平衡型,灵活配置型基金,"翟云飞,李怀定",光大保德信基金,否,0.6,0.15,暂停大额申购|开放赎回,9.6
003117.OF,光大吉鑫A,2016/8/19,2016/8/19,5.54,平衡型,灵活配置型基金,"房雷,李怀定",光大保德信基金,否,0.6,0.1,暂停大额申购|开放赎回,10.55
003133.OF,易方达裕鑫A,2016/9/5,2016/9/5,5.49,激进型,混合债券型二级基金,韩阅川,易方达基金,否,0.6,0.15,开放申购|开放赎回,21.03
003135.OF,金元顺安沣楹,2016/9/22,2016/9/22,5.45,平衡型,混合债券型二级基金,"周博洋,贾丽杰",金元顺安基金,否,0.7,0.1,开放申购|开放赎回,23.88
003142.OF,鹏华弘达A,2016/8/10,2016/8/10,5.56,平衡型,灵活配置型基金,刘方正,鹏华基金,否,0.6,0.1,暂停大额申购|开放赎回,6.15
003154.OF,华宝新活力,2016/9/7,2016/9/7,5.49,平衡型,灵活配置型基金,林昊,华宝基金,否,0.6,0.15,开放申购|开放赎回,9.75
003161.OF,南方安泰A,2016/9/22,2016/9/22,5.45,平衡型,偏债混合型基金,"孙鲁闽,杨旭",南方基金,否,1,0.2,开放申购|开放赎回,107.71
