date,000906.SH,H11006.CSI,H11073.CSI,000832.CSI,CBA05821.CS,CBA05831.CS,CBA05841.CS,CBA05851.CS,CBA05861.CS,CBA02711.CS,CBA02721.CS,CBA02731.CS,CBA02741.CS,CBA02751.CS,CBA02761.CS,000300.SH,000905.SH,000852.SH,CBA05801.CS,CBA02701.CS
2019/10/8,0.4681,0.1038,0.0987,0.0788,0.0743,0.0994,0.1329,0.2675,0.4844,0.0858,0.0948,0.0969,0.1181,0.0763,0.0571,0.6069,0.0174,0.0916,0.17,0.0933
2019/10/9,0.306255036,0.062764529,-0.002413122,0.329684613,0.012874241,0.023491037,0.023149906,0.040263218,0.05824503,0.011572563,0.015406411,0.022799937,0.020708335,0.012146874,0.007192211,0.144881838,0.833565251,0.915906754,0.02756764,0.015962186
2019/10/10,0.92429731,-0.043153626,0.004251794,0.556143457,0.019467405,0.007461546,-0.031527613,-0.085740952,-0.251733414,0.018513958,0.029189536,0.026768135,0.015876421,0.008705071,-0.036738963,0.817016542,1.272456185,1.547280793,-0.038981321,0.024464082
2019/10/11,0.773796001,-0.075805561,0.016202092,0.512758933,0.012806679,-0.023850702,-0.079056571,-0.208450847,-0.292564294,0.00990788,0.014506816,0.014216766,0.001343559,-0.020535925,-0.009592449,0.957152371,0.181459529,0.069475532,-0.090598609,0.011870183
2019/10/14,1.16338727,-0.056696535,0.006089161,0.882507089,0.012740743,0.01902903,0.032858208,0.049756546,0.09601067,0.02141306,0.020917095,0.011861683,-0.006917071,-0.053983148,-0.01372656,1.061316857,1.495686939,1.581786844,0.033086943,0.016448848
2019/10/15,-0.650693836,-0.005196113,-0.029180242,-0.396570121,-0.00392948,-0.011806765,-0.012044052,-0.044777201,-0.142829412,0.006701268,0.00161725,-0.002403404,0.002339028,0.009184701,0.003180981,-0.429806824,-1.36672202,-1.467803836,-0.027729127,0.002373101
2019/10/16,-0.368681775,-0.018321268,-0.004539197,-0.211531625,-0.001964817,0.030591087,0.043740992,0.053719536,0.08681618,0.012215653,0.004294009,0.003396196,0.012839468,-0.004331024,-0.01545796,-0.344602113,-0.447478503,-0.41881275,0.034204597,0.006346515
2019/10/17,0.010069015,0.044096979,0.003505109,-0.124954759,0.004056476,0.014618068,0.035451807,0.047745703,0.064261381,0.010791151,0.00775119,0.010188242,0.015126734,-0.020455842,-0.018809162,0.064654688,-0.168745519,-0.107380599,0.027292152,0.00877419
2019/10/18,-1.406392844,-0.055860117,0.009710534,-0.348296808,0.011344997,0.010457424,-0.013920389,-0.100088142,-0.545391698,0.010552845,0.013103514,0.007679585,0.014676683,0.051619813,0.065649069,-1.422694199,-1.352858353,-1.248018778,-0.061841189,0.012360039
2019/10/21,0.176321242,-0.063554293,0.01488038,-0.243787627,0.007224486,-0.041825321,-0.122200336,-0.207750011,-0.403456304,0.02714996,0.009254887,0.023872794,0.020046899,-0.051332346,-0.055954776,0.296225928,-0.217094288,-0.629372144,-0.110947689,0.016055031
2019/10/22,0.553595897,-0.084453346,-0.011776154,0.204160398,-0.009568584,-0.031382116,-0.02666131,0.024338665,-0.093319633,-0.003733588,-0.007079891,-0.007572711,-0.014273714,-0.065607619,-0.060730688,0.387573329,1.101125231,1.241785725,-0.014880017,-0.007888319
2019/10/23,-0.666841984,0.007996308,-0.00281512,-0.275661312,0.001267483,-0.013156478,0.025998665,-0.021229077,0.209272396,0.006519206,0.004348587,-0.003081543,-0.020592896,-0.071448008,-0.063504369,-0.636469662,-0.766301023,-0.80444677,0.011581987,0.000606842
2019/10/24,-0.050357248,0.004722274,-0.043836668,-0.008207307,0.02110333,0.033354529,0.022461391,0.053580653,-0.002839243,-0.042135031,-0.018843059,-0.02073577,-0.057562533,-0.040192107,-0.026882156,-0.010772174,-0.180149968,-0.19484897,0.030943985,-0.027693878
2019/10/25,0.688386679,-0.001931748,-0.015806514,0.357499801,0.008870399,0.016885836,-0.005720587,-0.088177676,-0.210774447,0.00984158,-5.58E-05,0.000835872,-0.002389449,-0.056260202,-0.031808856,0.674935214,0.73255535,0.772699906,-0.033424103,0.001545106
2019/10/28,1.006308315,-0.153093996,-0.005633757,0.464775032,0.019006312,-0.110656956,-0.200597166,-0.309794808,-0.575420669,0.026320672,0.018679343,0.011493142,0.00358426,-0.040178585,-0.032937395,0.764544212,1.799941312,2.370899325,-0.177885645,0.017326996
2019/10/29,-0.673835539,-0.072015598,-0.01638481,-0.112356457,-0.03363478,-0.08022178,-0.079765922,-0.066288292,0.007367581,0.000948243,-0.021017304,-0.058451582,-0.021952804,-0.019783346,-0.012138828,-0.416621568,-1.50959952,-1.087402743,-0.058693975,-0.02256533
2019/10/30,-0.651271689,-0.112672693,-0.02932499,-0.696740395,-0.102078835,-0.203105666,-0.14043418,-0.204046517,-0.255593622,0.005037494,-0.04566788,-0.064548635,-0.063034813,-0.12280665,-0.094213216,-0.485918205,-1.194501458,-0.993855802,-0.170942838,-0.037911689
2019/10/31,-0.231239719,0.060680363,-0.066029342,-0.429643241,-0.020423943,0.035803136,0.135131088,0.227265202,0.288539072,-0.00142228,-0.031240168,-0.072383007,-0.08619195,-0.136375024,-0.108805763,-0.114966352,-0.615979069,-1.120474913,0.106467377,-0.03588347
2019/11/1,1.509533985,0.084104606,-0.050015166,0.493135259,0.028358284,0.052733939,0.077819824,0.077785555,0.29160428,0.005155837,0.004185259,0.03595603,0.045327209,0.053952719,0.065814258,1.688692813,0.913733701,0.953759688,0.073567342,0.013806289
2019/11/4,0.619508902,-0.01430136,0.050385695,0.335597083,0.015728994,-0.008467343,-0.069099059,-0.078721572,-0.104383437,0.027318599,0.021539229,0.022654098,0.061654955,0.091428871,0.08986085,0.651110296,0.513605501,0.623920801,-0.037817517,0.026670068
2019/11/5,0.650649453,0.092111779,0.021813213,0.788535357,0.034496885,0.122786875,0.149156994,0.322364505,0.611098927,0.007938596,0.004742073,0.017836715,0.031431127,0.055289357,0.04371466,0.620674843,0.751157356,0.280636435,0.191468986,0.010488534
2019/11/6,-0.576343394,0.082625537,0.031072734,-0.043386923,0.032519851,0.075567492,0.076051837,0.023484577,0.126622024,0.00734558,0.03676327,0.054128176,0.084852318,0.125654856,0.1052386,-0.447964991,-1.006279641,-0.882331124,0.054271531,0.036098851
2019/11/7,0.284113226,0.007461293,0.047975205,0.243072233,-0.001140676,-0.001714754,0.029350263,-0.080375417,-0.282654699,0.010069813,0.027381081,0.055144282,0.05089808,0.056288015,0.072209107,0.175495804,0.649930188,0.666052372,-0.036244429,0.029905989
2019/11/8,-0.450128136,-0.059095469,0.049562106,-0.12445547,0.006020306,0.004715655,-0.01053134,0.012805761,0.005563888,0.01072031,0.02363829,0.027217381,0.052015941,0.105820493,0.106727579,-0.472564909,-0.374926109,-0.344430912,0.004672367,0.023884542
2019/11/11,-1.874288557,0.06659556,0.040744925,-0.670102048,0.021164853,0.082244497,0.113726094,0.1761499,0.176522667,0.028544948,0.036117905,0.053323194,0.081959554,0.088055708,0.048927418,-1.762703534,-2.247950993,-2.597004283,0.102164326,0.040367922
2019/11/12,0.039657898,0.04234591,0.038028427,-0.22624414,0.015458477,-0.001346159,0.082217888,0.00055842,0.107634569,0.020070489,0.031424604,0.043063849,0.040176459,0.038562229,0.033401586,0.018204047,0.11187083,0.253572291,0.025141624,0.031090602
2019/11/13,-0.101707438,0.020493397,0.022911744,-0.048947317,0.008488179,0.040752464,0.010815652,0.134516349,0.177891521,0.008050262,0.01414777,0.033236199,0.025913089,0.027854252,0.030714739,-0.094969148,-0.124372789,-0.292935045,0.060722914,0.017138603
2019/11/14,0.287976401,0.005953668,0.016132143,0.103627816,0.001773499,0.018165993,0.011179016,-0.030052024,-0.228079342,0.004557502,0.01977066,0.03259925,0.03156409,0.026542821,0.02156616,0.150654561,0.749957492,0.678404958,-0.016725974,0.018788624
2019/11/15,-0.771636759,0.059211331,0.019171768,-0.375949339,0.007030532,0.038710388,0.081160301,0.139644461,0.298586706,0.001479641,0.013029352,0.025288774,0.033389826,0.016057013,0.010140038,-0.736529781,-0.889044061,-1.228376015,0.082089144,0.013166093
2019/11/18,0.72601019,0.212477192,0.039024861,0.387472623,0.067070355,0.197572765,0.228533483,0.363448202,0.717566638,0.033261838,0.048603174,0.074231155,0.096763458,0.106699443,0.088242815,0.795439527,0.493468468,0.71398438,0.248178122,0.0527676
2019/11/19,1.158742392,0.115694682,0.033846597,0.491981045,0.055316526,0.125984925,0.156489784,0.198580581,0.420759541,0.011655522,0.033054135,0.064226912,0.055792069,0.017495262,-0.005343334,1.000788372,1.689372724,1.86529255,0.151860571,0.033912003
2019/11/20,-0.897308861,0.094991877,0.021906823,-0.206814009,0.041812367,0.038204917,0.052001137,-0.000369293,-0.053645835,0.017274192,0.033766381,0.065330931,0.104489896,0.096831829,0.02304436,-0.992518645,-0.579627059,-0.504698241,0.024817858,0.039623969
2019/11/21,-0.361894977,0.070455726,0.066623436,-0.281426903,0.029022474,0.047874955,0.057836306,0.02258848,0.32151222,0.012716814,0.047212489,0.068305585,0.056593208,0.049929371,0.061103571,-0.467419018,-0.011258976,-0.167406611,0.05748147,0.04241386
2019/11/22,-0.977251999,0.044963909,0.02400743,-0.236972022,0.022060794,0.028674699,0.023858031,0.038951713,0.041698821,0.019398068,0.0189539,0.023342173,0.03015938,0.042574737,0.049164455,-1.018182342,-0.841859428,-1.324702681,0.029744568,0.021060469
2019/11/25,0.550188379,-0.050061844,0.031104787,0.21042937,0.014535426,-0.031587904,-0.09263162,-0.235587634,-0.340744289,0.034058294,0.042513155,0.03996869,0.062277642,0.075656211,0.069708066,0.732762029,-0.0526235,-0.574025721,-0.10497143,0.041232443
2019/11/26,0.175331219,0.001173495,0.008532545,0.050701145,-0.017250411,-0.017655851,0.048957744,0.072322941,0.196269161,0.013713254,0.009776648,0.018963255,0.021487233,0.008515274,-0.021053392,0.346737632,-0.3945668,-0.070664719,0.032242393,0.012969128
2019/11/27,-0.213253004,0.027256779,0.004180018,-0.172362624,0.011502258,0.025331486,-0.000422885,0.00942661,-0.07166803,0.01507069,0.0233839,0.009973301,0.014272359,0.008358795,0.011723486,-0.412027968,0.452553565,-0.034213151,0.006557758,0.017747818
2019/11/28,-0.334831857,0.028689141,0.017807277,-0.182138784,0.012575198,0.024229275,0.037818124,0.044294728,0.036661879,0.010341072,0.020546367,0.027735476,-0.013085244,-0.047293327,-0.042444044,-0.34357612,-0.305801686,-0.288353967,0.029755424,0.016151494
2019/11/29,-0.642366996,0.034971522,0.011850322,-0.081302602,0.014153217,0.044916767,0.064556376,0.055667184,0.272220123,0.012467089,0.010937305,0.016615902,-0.005975554,-0.054794805,-0.028011625,-0.870783594,0.116215963,-0.087968954,0.058503655,0.010436355
2019/12/2,0.197897889,-0.052918568,0.025529552,0.010740555,0.025964952,-0.006935247,-0.074774319,-0.143891002,-0.373486432,0.033497433,0.036694253,0.041636685,0.078279491,0.058514481,0.05236973,0.192972986,0.21408427,0.21786112,-0.071263503,0.038994941
2019/12/3,0.400399973,0.009011051,-0.036281626,0.108872194,-0.000694745,0.007361606,0.018420689,0.114514426,0.130808958,0.011339248,0.002552672,0.01105352,0.006366029,-0.014749906,0.008168069,0.391766664,0.428788894,0.653447153,0.044037986,0.006533224
2019/12/4,-0.052653658,0.050915845,-0.001774667,-0.05065534,0.018758254,0.04374054,0.072582262,0.08969681,0.195719584,0.014113401,0.014538763,0.024024479,-9.87E-05,-0.01064851,0.002389104,-0.032933556,-0.11745972,0.161238168,0.065162368,0.015151698
2019/12/5,0.810895505,0.031866158,0.023414565,0.430652938,0.006819904,0.017999359,0.049117395,0.01574592,0.019557433,0.012871495,0.019863056,0.020335494,0.043079031,0.055689845,0.062448573,0.767433482,0.953811517,1.128170805,0.019894325,0.019869869
2019/12/6,0.656578033,-0.030790588,0.012648918,0.277865503,0.005367151,0.006687747,0.015801523,-0.021339742,-0.124254296,0.003306013,0.008376329,0.015559714,0.00784263,-0.032969561,-0.024208706,0.593434934,0.86376282,0.713605782,-0.0088333,0.00746344
2019/12/9,-0.070352227,0.014227715,0.033192057,-0.031583384,0.025003267,0.017022218,0.039919678,-0.00258346,-0.107085373,0.029517001,0.041046121,0.043301133,0.056571017,0.020307637,0.032600806,-0.17780151,0.281280725,0.355827223,0.009019411,0.038576521
2019/12/10,0.211261761,0.031914565,0.001601843,0.223040156,-0.007637978,0.012035091,0.004882483,0.044412048,0.177459338,0.013455781,0.01036821,0.017261121,0.043772154,-0.014176111,0.023429398,0.126750544,0.486553766,0.605925469,0.025882139,0.013603539
2019/12/11,-0.055213932,0.028229253,0.011498764,0.211309037,0.015845279,0.038228089,0.086795457,0.08472664,0.010434242,0.001770259,0.022951839,0.027830698,0.051242255,0.009504015,0.000499562,0.060632487,-0.431229518,-0.403262197,0.051133332,0.018921704
2019/12/12,-0.301241206,0.0523425,0.036551568,0.026507016,0.022217748,0.057958124,0.069496595,0.01953575,0.088266852,-0.015105945,0.014355465,0.015439927,0.036442162,0.023004801,0.085924243,-0.300429246,-0.303888084,-0.008642983,0.042465885,0.007841426
2019/12/13,1.807260819,-0.029643459,0.005489309,0.774521137,0.031362977,0.026958597,0,0.001596951,-0.183307579,0.007081982,0.008700712,0.012795547,0.009451819,-0.031877425,-0.043257992,1.983973783,1.230739953,1.348936488,0.002652991,0.008114965
2019/12/16,0.802414235,0.008837115,0.011721319,0.904605287,0.022016594,0.025494502,0.045255758,0.010564273,-0.07998462,0.031394562,0.03374696,0.034652332,0.063399961,0.075044897,0.05931129,0.487001594,1.82024082,1.878949806,0.016966354,0.035363025
2019/12/17,1.359343219,-0.056105402,0.024640469,0.800842381,0.00277512,0.000364114,-0.003308432,-0.15242882,-0.368651335,0.00743322,0.005705688,-0.009423826,0.013183559,0.017436801,0.00731941,1.360565986,1.355454317,1.253057246,-0.064399524,0.003781684
2019/12/18,-0.174056108,-0.018055416,-0.008401988,0.172890029,-0.002522766,-0.009770366,-0.011790438,0.017837164,-0.10901388,0.006960753,0.004819093,-0.002226718,0.021395866,0.031027943,-0.020792257,-0.223093693,-0.017906586,-0.033020665,-0.007468739,0.005042055
2019/12/19,-0.076011828,0.020242764,0.023378923,-0.080242772,0.033553639,0.01693291,0.029900708,0.01193032,-0.035920162,0.011207211,0.009582332,0.000621424,-0.009933426,0.006068802,0.037322931,-0.139682709,0.126315995,0.438797522,0.018704108,0.007562701
2019/12/20,-0.447909608,0.139380505,0.012515373,-0.049393004,0.044828262,0.124092968,0.141880655,0.226587542,0.645661142,0.008492935,0.009138343,0.009735576,0.030098321,-0.001919077,0.044515798,-0.245751989,-1.088616111,-1.202480984,0.167688308,0.009918444
2019/12/23,-1.411903321,0.1329638,0.035141512,-0.437867342,0.076003741,0.120060388,0.11483318,0.10987811,0.447586638,0.037625223,0.050228604,0.056440129,0.06180099,0.062293403,0.063280723,-1.248527383,-1.935023818,-2.255358077,0.126618545,0.048655828
2019/12/24,0.859442709,0.116534083,0.026903801,0.441223701,0.067192705,0.088499646,0.102643413,0.0720073,0.345692658,0.013381996,0.026125688,0.036743016,0.045155156,0.038617564,-0.004097909,0.65191008,1.52860626,1.760222687,0.097782208,0.0255757
2019/12/25,0.057184099,0.077510538,0.041058662,0.097176504,0.044618218,0.078563195,0.050280257,0.060932519,0.242298577,0.01750626,0.027834298,0.031349422,0.004960405,0.030571231,0.061360395,-0.052367191,0.407363697,0.597276688,0.071866418,0.024912137
2019/12/26,0.835875983,0.143609459,0.01906532,0.599975316,0.022204805,0.054086883,0.104403391,0.163897404,0.415044193,0.023042928,0.033303349,0.037235165,0.020282631,0.004351184,0.039073893,0.880029305,0.695371684,0.713018316,0.108551552,0.03016081
2019/12/27,-0.257631997,0.086867912,0.013754091,-0.062324361,0.041255293,0.002536783,0.03925255,-0.031528259,-0.120415375,0.018088361,0.025992297,0.041460399,0.040753438,0.123433577,0.125806414,-0.098363435,-0.76540382,-0.807027583,0.000859125,0.02965922
2019/12/30,1.417724352,-0.003649411,0.061513986,0.484492094,0.047964646,0.018904596,-0.002990636,-0.023653652,-0.050331103,0.037348361,0.046221094,0.049917889,0.047264546,0.039731481,0.045032277,1.481978817,1.211489922,0.565032215,0.006627479,0.044366228
2019/12/31,0.395755896,0.052627487,0.026575042,0.586187736,0.033552872,0.021618423,0.034273717,-0.013938782,0.142754673,0.016900596,0.019231471,0.005681396,0.023989039,0.02787339,0.047994398,0.366243083,0.490732598,0.669745499,0.025710459,0.016513759
2020/1/2,1.479864641,-0.019189678,0.024857596,1.121275193,0.016456749,-0.00452802,-0.034740327,-0.055151465,-0.170733975,0.0391533,0.063982072,0.041730062,0.04620093,0.04647717,0.079657874,1.358661895,1.869430807,1.967383703,-0.029139209,0.051884007
2020/1/3,-0.069124917,-0.052662775,0.056827671,0.196050391,-0.013188354,-0.043350211,-0.074828317,-0.019454372,0.025478185,0.025836949,0.034234473,0.03396897,0.031472717,-0.001498567,0.01748541,-0.175228277,0.270207388,0.519432736,-0.029393157,0.03103776
2020/1/6,-0.046814265,0.076655189,0.043977979,0.004202732,-0.002009919,0.028932808,0.05004262,0.143672183,0.254834059,0.040069289,0.062704923,0.07488182,0.083557788,0.057979912,0.070756655,-0.378036977,1.007559105,1.028551516,0.070834397,0.059598044
2020/1/7,0.857075553,0.021038921,0.036670167,0.23325592,0.024936058,0.020410147,0.032308013,-0.021018878,-0.051631593,0.01699763,0.029126278,0.021297761,0.0200763,0.013686072,0.019233525,0.749086636,1.195786386,1.520061622,0.007360581,0.023639397
2020/1/8,-1.20765791,0.04841105,0.029313996,-0.529330856,0.025620593,0.010806719,0.008672498,0.006172538,0.142936784,0.010820182,0.034577384,0.040008579,0.016694254,-0.009140013,-0.002810089,-1.151624548,-1.38263853,-1.365033725,0.022202786,0.027345355
2020/1/9,1.28850924,0.036026594,0.019745584,0.383968977,0.008851908,0.014970819,0.048741191,0.049805027,0.187373227,0.007702665,0.036384665,0.043909378,0.02525747,-0.002995306,-0.002975472,1.265770549,1.359680413,1.588710435,0.040164632,0.028538346
2020/1/10,-0.097874203,0.067697156,0.041986639,-0.466254135,0.014249682,0.068626102,0.110884494,0.247313089,0.439104597,0.002292983,0.034828401,0.04651733,0.063421347,0.110829647,0.086401467,-0.028450884,-0.314958888,-0.209565457,0.134849946,0.030821348
2020/1/13,1.093371181,0.103218453,0.060280703,0.273871452,0.038725996,0.031545151,0.009792407,0.021508062,0.094929258,0.022047411,0.052665125,0.069357376,0.082111844,0.111119652,0.064304716,0.980100596,1.448832082,1.278721305,0.031953126,0.049626168
2020/1/14,-0.329535964,0.015762012,0.018868997,0.002654151,-0.012610878,-0.016581608,-0.019403784,-0.031493703,-0.077574665,-0.005584113,0.002477702,0.027682558,0.034352154,0.077192422,0.077963379,-0.335445748,-0.311092801,-0.212749975,-0.024171366,0.008012558
2020/1/15,-0.472352289,-0.018763852,0.005682361,-0.429255197,-0.003890413,-0.017308039,0.000298578,0.01230896,0.032294723,-0.003233088,-0.018169365,0.007355967,0.029113589,0.104216924,0.018692236,-0.552563934,-0.222018473,-0.010062371,0.000122416,-0.004796249
2020/1/16,-0.331663265,0.027043996,0.005625217,-0.187919341,0.003263054,0.007117429,0.031231134,0.015231986,-0.042659322,0.003056837,0.012445523,0.018362847,0.021486998,0.046704768,0.049580135,-0.424577098,-0.042658023,-0.192545284,0.008324295,0.012100209
2020/1/17,0.028077224,0.029408324,0.027329064,0.273275896,0.015248006,0.008081929,0.080948748,0.051659028,0.07665719,0.003585795,0.009085203,0.004268449,0.019382967,0.054497734,0.043622083,0.140022638,-0.318801731,-0.384940574,0.037517412,0.008011331
2020/1/20,0.906231925,0.159379972,0.040329177,0.831646364,0.036440749,0.042903765,0.151488855,0.179572421,0.257658953,0.011695405,0.01563404,0.027147451,0.050129399,0.050160916,0.06183847,0.745571504,1.406351414,1.283371513,0.109389054,0.018906826
2020/1/21,-1.569189191,0.148132172,0.014421805,-0.305238366,0.027524374,0.085830964,0.164182295,0.238150611,0.80698606,0.012928081,0.023942762,0.040658723,0.039224774,0.06189918,0.055104311,-1.708666935,-1.138140338,-0.890164327,0.173157688,0.025385923
2020/1/22,0.552390987,0.097593209,0.032075373,0.042615618,0.029710622,0.0499499,0.017241502,0.100255697,0.053991224,0.006110667,0.021515814,0.03483617,0.062276613,0.090609517,0.063466709,0.428324711,0.933585127,0.30038503,0.053595241,0.022710823
2020/1/23,-3.2091147,0.137798653,0.030419269,-1.275219347,0.023811568,0.05293249,0.172385301,0.265668704,0.724650134,0.015745755,0.011223227,0.017925648,0.019251333,0.027491635,0.030041224,-3.098546343,-3.547144706,-3.72625151,0.169048417,0.01453816
2020/2/3,-8.077411552,1.124296169,0.515154799,-3.531690011,0.290494618,0.535778162,0.688710629,1.196083591,2.356851995,0.147387615,0.319716062,0.544092272,0.754409534,1.048086883,1.031123884,-7.88090106,-8.680968297,-8.75320536,0.817655519,0.346415231
2020/2/4,2.419075177,-0.041766852,-0.010950201,2.011605439,-0.007933137,0.090594497,0.092586917,-0.061551638,-0.076010092,0.017655792,-0.000109669,-0.007814595,-0.016443526,-0.02237829,-0.000922147,2.63748273,1.742515238,0.229562061,0.009594705,0.002441438
2020/2/5,1.476863255,-0.03141599,-0.015410991,0.762305545,0.034671183,-0.020731245,-0.00700678,0.003819507,0.006561413,0.011670705,0.017930846,0.040557342,0.032602234,0.032838989,0.024843966,1.13295578,2.551551201,2.613932964,0.004827061,0.021267119
2020/2/6,2.164980311,0.003215187,0.010275577,0.792483195,0.025479171,0.005975661,0.011129195,0.023691973,0.1506246,0.015656858,-0.000219298,0.021291631,0.041779154,0.040083902,0.027495114,1.86097411,3.101707294,3.128078525,0.02715091,0.010956746
