,R2,R3,R5,R6,R7,R8,,,,,,,,,
004446.OF,18.08,5.14,30.9,30.85,30.87,3.02,,,,,,,,,
004457.OF,20.24,5.93,32.21,32.19,32.21,5.89,,,,,,,,,
004486.OF,7.95,4.01,28.98,28.99,28.97,4.19,,,,,,,,,
004503.OF,6.78,3.77,22.52,22.52,22.52,3.12,,,,,,,,,
004517.OF,8.08,2.36,29.79,29.78,29.79,1.62,,,,,,,,,
004571.OF,9.98,2.72,27.64,27.64,27.69,5.43,,,,,,,,,
004585.OF,4.94,1.67,22.81,22.81,22.81,2.65,,,,,,,,,
004607.OF,23.63,9.89,29.63,29.61,29.62,7.76,,,,,,,,,
004608.OF,11.72,5.43,27.92,27.92,27.92,3.7,,,,,,,,,
004612.OF,10.33,3.78,26.96,26.97,26.97,3.51,,,,,,,,,
004617.OF,17.2,4.96,32.13,32.13,32.12,5.88,,,,,,,,,
004647.OF,21.36,12.78,26.1,26.08,26.09,14.29,,,,,,,,,
004648.OF,9.24,2.17,25.45,25.41,25.41,2.21,,,,,,,,,
004680.OF,13.76,5.89,26.86,26.86,26.86,4.23,,,,,,,,,
004687.OF,13.67,6.7,27.38,27.38,27.38,6.79,,,,,,,,,
004707.OF,16.86,5.26,34.12,34.12,34.13,5.15,,,,,,,,,
004710.OF,8.09,2.39,26.96,26.97,26.98,3.26,,,,,,,,,
004720.OF,16.29,2.47,28.16,28.66,28.67,4.71,,,,,,,,,
004731.OF,12.05,3.58,26.79,26.79,26.79,4.94,,,,,,,,,
004734.OF,12.15,5.13,29.82,29.82,29.82,5.67,,,,,,,,,
004738.OF,13.1,5.57,26.96,26.96,26.96,4.84,,,,,,,,,
004750.OF,17.12,6.54,30.37,30.37,30.37,5.18,,,,,,,,,
004756.OF,13.98,4.91,25.29,25.28,25.29,4.36,,,,,,,,,
004760.OF,16.21,5.82,23.52,23.52,23.52,7,,,,,,,,,
004772.OF,17.59,5.21,31.27,31.26,31.27,4.46,,,,,,,,,
004774.OF,12.76,7.91,32.61,32.59,32.61,6.6,,,,,,,,,
004801.OF,13.31,3.8,28.9,28.9,28.9,5.24,,,,,,,,,
004807.OF,3.63,1.73,39.06,39.03,39.06,2.07,,,,,,,,,
004823.OF,12.17,4.86,28.1,28.1,28.1,3.72,,,,,,,,,
004852.OF,24.41,4.81,37.71,37.7,37.71,4.56,,,,,,,,,
004885.OF,14.72,4.78,23.4,23.39,23.42,5.21,,,,,,,,,
004902.OF,13.05,4.59,23.91,23.91,23.92,5.28,,,,,,,,,
004913.OF,18.91,5.08,31.47,31.47,31.47,5.68,,,,,,,,,
004916.OF,14.37,8.08,26.42,26.4,26.42,6.78,,,,,,,,,
004946.OF,13.13,3.38,28.82,28.81,28.81,4.28,,,,,,,,,
004952.OF,6.41,2.53,24.33,24.33,24.33,3.94,,,,,,,,,
004975.OF,4.86,1.64,26.08,26.08,26.1,2.81,,,,,,,,,
004982.OF,19.72,8.19,31.82,31.82,31.82,6.68,,,,,,,,,
004988.OF,17.26,3.37,30.92,30.92,30.92,4.6,,,,,,,,,
005014.OF,9.49,4.96,27.69,27.69,27.69,2.04,,,,,,,,,
005039.OF,8.54,3.82,23.91,23.9,23.91,4.39,,,,,,,,,
005059.OF,11.84,4.05,25.37,25.37,25.37,2.93,,,,,,,,,
005078.OF,13.26,4.38,28.52,28.52,28.52,4.94,,,,,,,,,
005121.OF,18.49,7.39,28.48,28.48,28.48,7.72,,,,,,,,,
005128.OF,17.89,4.38,29.16,29.16,29.16,5.97,,,,,,,,,
005140.OF,20.03,5.5,29.32,29.31,29.32,6.72,,,,,,,,,
005144.OF,24.07,4.41,34.14,34.13,34.14,3.94,,,,,,,,,
005159.OF,10.06,3.91,20.69,20.63,20.68,2.8,,,,,,,,,
005166.OF,20.84,6.29,25.38,25.37,25.38,8.41,,,,,,,,,
005167.OF,16.23,3.66,26.53,26.53,26.53,3,,,,,,,,,
005177.OF,13.86,4.13,25.93,25.92,25.93,4.99,,,,,,,,,
005212.OF,8.35,3.58,25.76,25.76,25.76,3.75,,,,,,,,,
005252.OF,16.07,8.39,17.62,17.58,17.63,6.36,,,,,,,,,
005271.OF,17.09,5.96,26.48,26.48,26.48,9.4,,,,,,,,,
005274.OF,19.34,7.04,34.21,34.2,34.21,6.26,,,,,,,,,
005291.OF,21.46,4.53,23.32,23.5,23.5,8.79,,,,,,,,,
005305.OF,12.18,3.37,23.59,23.59,23.59,4.37,,,,,,,,,
005317.OF,19.32,5.08,28.92,28.92,28.92,7.79,,,,,,,,,
005329.OF,12.98,1.83,27.39,27.39,27.4,6.11,,,,,,,,,
005397.OF,20.02,6.2,30.28,30.28,30.28,6.03,,,,,,,,,
005416.OF,11.09,2.03,29.01,29,29,2.5,,,,,,,,,
005522.OF,13.88,7.53,22.68,22.56,22.61,6.9,,,,,,,,,
005523.OF,7.29,1.71,24.66,24.66,24.66,1.7,,,,,,,,,
005552.OF,17.88,6.13,29.31,29.31,29.31,4.69,,,,,,,,,
005579.OF,12.75,3.23,21.73,21.73,21.74,3.74,,,,,,,,,
005652.OF,10.1,2.5,27.42,27.42,27.42,3.05,,,,,,,,,
005656.OF,8.03,3.06,25.52,25.54,25.56,3.55,,,,,,,,,
005664.OF,9.45,4.28,25.29,25.29,25.29,3.93,,,,,,,,,
005678.OF,11.01,4.31,24.98,24.99,25.01,2.8,,,,,,,,,
005679.OF,19.19,7.68,26.31,26.31,26.31,8.11,,,,,,,,,
005686.OF,11.58,6.28,25.22,25.24,25.25,3.93,,,,,,,,,
005706.OF,7.34,3.52,27.22,27.21,27.22,3.56,,,,,,,,,
005746.OF,13.31,6.9,32.81,32.8,32.8,7.91,,,,,,,,,
005750.OF,16.87,5.9,31.92,31.94,31.96,2.77,,,,,,,,,
005823.OF,7.97,2.52,30.65,30.64,30.65,2.32,,,,,,,,,
005843.OF,10.76,2.88,19.6,19.59,19.6,3.68,,,,,,,,,
005886.OF,13.05,5.47,28.47,28.47,28.47,5.67,,,,,,,,,
005906.OF,15.66,4.83,25.11,25.1,25.11,3.99,,,,,,,,,
005943.OF,16.75,4.8,30.29,30.28,30.29,4.77,,,,,,,,,
006004.OF,10.32,2.85,21.79,21.72,21.74,1.77,,,,,,,,,
006059.OF,4.56,1.71,21.77,21.77,21.78,2.64,,,,,,,,,
006061.OF,14.2,4.05,27.11,27.1,27.1,6.86,,,,,,,,,
006114.OF,11.77,5.55,24.52,24.51,24.52,4.75,,,,,,,,,
006140.OF,14.5,3.99,28.19,28.18,28.19,4.21,,,,,,,,,
006174.OF,8.4,2.99,18.74,18.72,18.74,3.72,,,,,,,,,
006188.OF,18.49,3.79,27.12,27.05,27.1,4.53,,,,,,,,,
006207.OF,13.15,3.34,26.29,26.29,26.29,4.83,,,,,,,,,
006353.OF,8.1,3.93,22.48,22.47,22.5,3.78,,,,,,,,,
006398.OF,12.96,5.6,25.63,25.63,25.63,6.32,,,,,,,,,
006459.OF,13.12,4.16,27.44,27.43,27.45,3.1,,,,,,,,,
006466.OF,9.23,3.61,22.8,22.79,22.8,4.63,,,,,,,,,
006500.OF,26.83,4.81,33.07,33.06,33.07,5.1,,,,,,,,,
006535.OF,26.51,9.45,27.68,27.68,27.68,9.09,,,,,,,,,
006638.OF,28.7,10.83,36.8,36.71,36.76,8.45,,,,,,,,,
006654.OF,14.19,6.69,24.6,24.6,24.6,6.84,,,,,,,,,
006738.OF,15.6,5.81,26.11,26.09,26.1,7.86,,,,,,,,,
006832.OF,7,2.15,25.83,25.83,25.83,3.93,,,,,,,,,
006839.OF,14.66,5.71,29.06,29.06,29.06,4.11,,,,,,,,,
006854.OF,15.31,3.12,21.07,21.07,21.09,4.54,,,,,,,,,
006896.OF,19.2,7.69,21.27,21.11,21.14,4.69,,,,,,,,,
006952.OF,9.45,3.06,28.47,28.48,28.52,3.14,,,,,,,,,
006973.OF,8.79,2.8,24.51,24.5,24.51,2.8,,,,,,,,,
006974.OF,13.52,3.97,31.7,31.65,31.7,3.14,,,,,,,,,
007128.OF,11.28,5.07,27.26,27.25,27.26,4.12,,,,,,,,,
007266.OF,18.08,9.66,29.62,29.62,29.62,11.77,,,,,,,,,
007282.OF,17.53,5.23,21.46,21.46,21.47,5.27,,,,,,,,,
007318.OF,8.44,3.3,31.43,31.42,31.43,3.58,,,,,,,,,
007385.OF,10.37,4.54,25.22,25.21,25.22,4.59,,,,,,,,,
007415.OF,8.76,2.28,29.95,29.95,29.95,3.16,,,,,,,,,
007712.OF,9.26,3.84,21.58,21.57,21.58,3.87,,,,,,,,,
007725.OF,12.4,3.58,26.18,26.18,26.19,4.49,,,,,,,,,
007752.OF,11.34,4.48,26.46,26.45,26.46,4.75,,,,,,,,,
007767.OF,18.08,4.1,31.26,31.21,31.24,3.72,,,,,,,,,
007781.OF,16.69,5.5,27.7,27.7,27.7,9.27,,,,,,,,,
007879.OF,11.92,4.01,25.34,25.33,25.34,3.99,,,,,,,,,
007884.OF,7.91,4.07,25.67,25.67,25.67,3.02,,,,,,,,,
020002.OF,16.01,2.5,24.35,24.35,24.35,4.28,,,,,,,,,
020033.OF,6.86,3,31.19,31.2,31.19,1.86,,,,,,,,,
040009.OF,13.2,2.97,18.18,18.15,18.16,4.78,,,,,,,,,
040012.OF,16.76,6.88,29.09,29.1,29.11,7.89,,,,,,,,,
040019.OF,5.27,2.27,25.32,25.33,25.37,2.79,,,,,,,,,
040036.OF,9.1,2.36,35.95,35.95,35.95,1.54,,,,,,,,,
050006.OF,12.71,3.37,21.42,21.38,21.42,5.24,,,,,,,,,
050016.OF,10.11,3.6,24.43,24.42,24.43,3.91,,,,,,,,,
050023.OF,16.87,5.98,27.2,27.2,27.2,4.98,,,,,,,,,
070015.OF,13.75,3.08,21.47,21.47,21.47,4.57,,,,,,,,,
070020.OF,7.11,2.62,26.67,26.66,26.67,2.82,,,,,,,,,
080003.OF,10.45,2.89,29.87,29.87,29.87,3.09,,,,,,,,,
090002.OF,6.02,2.55,26.7,26.7,26.7,2.1,,,,,,,,,
090006.OF,7.52,1.54,25.57,25.56,25.57,2.69,,,,,,,,,
100018.OF,11.2,2.25,26.22,26.2,26.25,2.16,,,,,,,,,
100035.OF,8.81,2.71,28.91,28.91,28.91,2.49,,,,,,,,,
110007.OF,10.97,4.08,26.99,26.99,26.99,4.19,,,,,,,,,
110017.OF,10.04,2.67,28.25,28.24,28.25,3.53,,,,,,,,,
110027.OF,7.59,2.61,27.48,27.48,27.48,3.39,,,,,,,,,
110035.OF,14.2,3.25,20.45,20.45,20.45,5.14,,,,,,,,,
121009.OF,9.34,3.21,30.19,30.22,30.23,3.58,,,,,,,,,
121012.OF,5.85,1.78,24.69,24.68,24.68,2.97,,,,,,,,,
151002.OF,10.35,3.23,25.99,25.99,25.99,3.19,,,,,,,,,
160220.OF,7.74,2.02,32.39,32.39,32.39,2.71,,,,,,,,,
160323.OF,13.24,5.32,25.21,25.21,25.22,3.29,,,,,,,,,
160513.OF,10.88,5.08,24.16,24.15,24.16,4.04,,,,,,,,,
160524.OF,25.82,8.55,29.98,29.99,29.99,12.88,,,,,,,,,
160612.OF,5.92,3.64,28.92,28.92,28.92,4.28,,,,,,,,,
160622.OF,4.47,2.4,22.28,22.28,22.27,2.88,,,,,,,,,
161010.OF,12.05,3.38,21.51,21.5,21.5,4.3,,,,,,,,,
161015.OF,5.33,1.96,13.73,13.68,13.76,2,,,,,,,,,
161019.OF,7.79,3.04,19,19.01,19,2.67,,,,,,,,,
161115.OF,13.18,5.34,27.39,27.37,27.39,4.86,,,,,,,,,
161216.OF,7.05,2.43,28.19,28.21,28.21,3.35,,,,,,,,,
161505.OF,10.68,4.97,28.03,28.03,28.03,4.6,,,,,,,,,
161603.OF,15.89,4.27,26.56,26.5,26.52,4.97,,,,,,,,,
161618.OF,21.7,8.13,23.79,23.73,23.76,5.59,,,,,,,,,
161626.OF,8.12,4.21,25.87,25.86,25.88,5.55,,,,,,,,,
161722.OF,12.75,2.17,25.5,26.46,26.46,4.02,,,,,,,,,
162205.OF,9.52,2.99,30.08,30.07,30.08,3.51,,,,,,,,,
162210.OF,20.05,6.79,30.17,30.17,30.17,7.69,,,,,,,,,
162215.OF,17.85,5.79,25.94,25.94,25.94,8.66,,,,,,,,,
162414.OF,13.47,4.16,28.34,28.33,28.34,4.59,,,,,,,,,
162712.OF,6.75,2.19,30.29,30.28,30.29,3.04,,,,,,,,,
163003.OF,15.75,2.15,20.14,20.12,20.14,5.22,,,,,,,,,
163806.OF,6.55,1.6,24.35,24.33,24.35,3.67,,,,,,,,,
163811.OF,8.15,2.09,23.56,23.56,23.56,3.92,,,,,,,,,
163819.OF,12.67,2.3,24.48,24.47,24.48,3.86,,,,,,,,,
163825.OF,9.74,2.23,19.5,19.5,19.5,3.52,,,,,,,,,
164105.OF,6.06,3.41,25.38,25.38,25.38,3.52,,,,,,,,,
164208.OF,8.27,3.01,24.78,24.75,24.78,2.65,,,,,,,,,
164606.OF,14.64,6.62,21.49,21.43,21.47,8.34,,,,,,,,,
164808.OF,6.21,2.2,23.73,23.72,23.74,1.72,,,,,,,,,
165311.OF,8.57,3.09,17.16,17.14,17.16,5.33,,,,,,,,,
165526.OF,6.98,3.82,27.76,27.7,27.73,3.82,,,,,,,,,
166010.OF,13.98,5.38,27.13,27.13,27.13,3.75,,,,,,,,,
166105.OF,16.58,3.51,30.98,30.97,30.98,5.14,,,,,,,,,
167003.OF,20.41,8.05,27.85,27.84,27.85,7.41,,,,,,,,,
169106.OF,10.63,2.97,26.2,26.18,26.19,3.19,,,,,,,,,
180015.OF,6.44,3.16,30.35,30.35,30.35,2.66,,,,,,,,,
180025.OF,5.04,2.7,28.44,28.43,28.44,4.62,,,,,,,,,
202101.OF,7.23,1.57,22.5,22.5,22.5,1.12,,,,,,,,,
202102.OF,11.36,2.44,23.82,23.82,23.82,3.56,,,,,,,,,
202105.OF,3.69,1.85,27.11,27.11,27.11,0.94,,,,,,,,,
206003.OF,6.16,3.33,28.91,28.9,28.91,3.67,,,,,,,,,
206008.OF,7.08,3.43,26.77,26.77,26.77,3.72,,,,,,,,,
206018.OF,4.63,1.73,20.22,20.2,20.21,2,,,,,,,,,
210006.OF,22.11,5.8,27.21,27.2,27.21,5.47,,,,,,,,,
210007.OF,14.12,3.09,32.85,32.87,32.92,1.95,,,,,,,,,
210010.OF,17.06,4.07,29.1,29.1,29.1,3.3,,,,,,,,,
213007.OF,26.84,7.43,37.54,37.54,37.54,9.96,,,,,,,,,
217008.OF,8.16,2.05,26.19,26.19,26.19,4.53,,,,,,,,,
217023.OF,9.43,3.78,28.32,28.31,28.32,2.49,,,,,,,,,
217024.OF,11.38,2.31,26.9,26.9,26.9,3.27,,,,,,,,,
233005.OF,4.25,2.35,17.67,17.7,17.67,2.26,,,,,,,,,
233012.OF,7.11,2.76,21.44,21.45,21.47,3.95,,,,,,,,,
240003.OF,5.39,2.63,22.6,22.54,22.59,2.82,,,,,,,,,
240012.OF,12.63,4.72,18.78,18.78,18.78,5.95,,,,,,,,,
253010.OF,22.88,4.24,26.83,26.83,26.83,3.37,,,,,,,,,
253060.OF,10.07,3.13,28.16,28.16,28.16,6.27,,,,,,,,,
270029.OF,4.77,1.9,26.54,26.52,26.53,2.16,,,,,,,,,
310508.OF,9.96,3.91,27.83,27.82,27.83,4.3,,,,,,,,,
320021.OF,16.33,6.26,29.69,29.69,29.69,5.08,,,,,,,,,
340009.OF,5.45,2.91,23.49,23.48,23.49,2.5,,,,,,,,,
350006.OF,23.83,7.35,28.44,28.41,28.41,9.84,,,,,,,,,
360008.OF,10.43,3.48,23.39,23.39,23.39,5.76,,,,,,,,,
371020.OF,12.8,4.52,28.3,28.3,28.3,5.14,,,,,,,,,
372010.OF,18.18,5.99,26.33,26.31,26.32,6.48,,,,,,,,,
380009.OF,8.25,2.36,12.44,12.44,12.44,3.79,,,,,,,,,
395001.OF,14.97,5.4,24.91,24.9,24.91,2.64,,,,,,,,,
395011.OF,17.43,4.18,26.77,26.76,26.77,3.97,,,,,,,,,
400016.OF,9.28,3.64,22.69,22.7,22.7,2.59,,,,,,,,,
400027.OF,8.59,3.33,25.34,25.34,25.34,1.35,,,,,,,,,
410004.OF,5.52,2.49,27.02,27.02,27.02,2.11,,,,,,,,,
420002.OF,9.18,4.24,27.49,27.49,27.49,3.76,,,,,,,,,
420008.OF,19.78,8.25,21.26,21.26,21.27,4.24,,,,,,,,,
420009.OF,6.59,3.37,24.96,24.96,24.96,3.02,,,,,,,,,
450005.OF,9.18,2.45,25.92,25.92,25.92,2.53,,,,,,,,,
450018.OF,12.02,4.32,20.74,20.7,20.77,3.39,,,,,,,,,
470010.OF,13.96,5.31,33.42,33.47,33.53,3.91,,,,,,,,,
470018.OF,7.11,2.43,28.24,28.24,28.24,2.93,,,,,,,,,
470088.OF,7.38,2.42,34.25,34.25,34.25,2.27,,,,,,,,,
485105.OF,8.06,1.82,28.49,28.48,28.49,2.34,,,,,,,,,
485107.OF,10.49,4.75,27.1,27.09,27.1,3.05,,,,,,,,,
485111.OF,14.36,4.49,29.41,29.37,29.41,4.37,,,,,,,,,
501000.OF,17.12,5.26,26.24,26.24,26.24,5.09,,,,,,,,,
501017.OF,9.04,2.84,31.96,31.95,31.96,2.35,,,,,,,,,
501027.OF,9.26,5.2,35.63,35.6,35.65,4.63,,,,,,,,,
501039.OF,15.51,7.7,29.38,29.38,29.39,6.9,,,,,,,,,
501041.OF,26.5,10.4,33.21,33.17,33.21,6.57,,,,,,,,,
501053.OF,14.18,4.54,22.22,22,22.21,3.98,,,,,,,,,
519007.OF,8.1,4.71,30.28,30.26,30.25,5.17,,,,,,,,,
519023.OF,21.11,3.66,22.04,22.07,22.06,10.4,,,,,,,,,
519030.OF,8.93,2.34,24.05,24.07,24.08,2.93,,,,,,,,,
519050.OF,9.11,3.48,25.92,25.92,25.92,1.94,,,,,,,,,
519061.OF,27.13,8.78,28.57,28.54,28.55,5.88,,,,,,,,,
519127.OF,9.59,3.41,32.16,32.16,32.16,5.07,,,,,,,,,
519134.OF,7.78,4.4,25.03,25.03,25.04,3.86,,,,,,,,,
519160.OF,8.08,3.81,22.55,22.49,22.57,4.37,,,,,,,,,
519162.OF,20.46,8.38,26.38,26.38,26.39,6.84,,,,,,,,,
519175.OF,8.01,3.78,27.18,27.18,27.18,4.76,,,,,,,,,
519186.OF,12.12,3.86,40.42,40.41,40.41,4.48,,,,,,,,,
519197.OF,15.12,5.14,28.21,28.24,28.25,3.44,,,,,,,,,
519222.OF,11.19,2.72,27.74,27.74,27.75,2.36,,,,,,,,,
519229.OF,6.42,1.77,30.3,30.29,30.3,1.55,,,,,,,,,
519616.OF,11.88,4.38,27.75,27.75,27.76,3.27,,,,,,,,,
519625.OF,12.23,5.27,25.83,25.83,25.83,2.94,,,,,,,,,
519627.OF,11.63,3.11,28.08,28.07,28.08,4.78,,,,,,,,,
519652.OF,20.13,4.49,26.31,26.31,26.32,7.14,,,,,,,,,
519660.OF,23.54,7.83,30.08,30.07,30.07,7.3,,,,,,,,,
519666.OF,22.04,9.26,33.27,33.26,33.27,4.68,,,,,,,,,
519676.OF,13.46,3.68,31.31,31.31,31.32,3.03,,,,,,,,,
519680.OF,3.47,1.43,22.87,22.86,22.87,1.51,,,,,,,,,
519683.OF,23.3,5.52,36.21,36.21,36.22,6.83,,,,,,,,,
519726.OF,10.4,5.81,35.5,35.49,35.49,5.87,,,,,,,,,
519730.OF,9.02,4.4,32.31,32.31,32.31,5.48,,,,,,,,,
519733.OF,12.03,5.19,31.88,31.86,31.87,7.16,,,,,,,,,
519738.OF,5.25,2.54,30.34,30.34,30.35,3.07,,,,,,,,,
519752.OF,5.47,2.03,30.58,30.58,30.59,2.63,,,,,,,,,
519753.OF,10.1,5.53,33.36,33.34,33.34,2.89,,,,加权方式,半衰期加权,平方根加权,,,
519755.OF,5.94,2.1,30.64,30.63,30.62,3.74,,,,WLSMAXMIN_CONS_WREG,12.18,12.08,,,
519766.OF,6.29,2.54,29.18,29.18,29.19,4.85,,,,WLSUPDOWN_CONS_WREG,4.18,4.18,,,
519768.OF,5.43,2.54,33.82,33.82,33.82,2.24,,,,WLSLINEAR_WREG,27.37,27.57,,,
519770.OF,5.88,2.13,33.16,33.15,33.16,2.31,,,,WLSREDGE_REG,27.36,27.56,,,
519933.OF,10.7,4.89,26.09,26.09,26.09,5.02,,,,WLSLASSO_REG,27.37,27.57,,,
519963.OF,12.06,4.39,25.81,25.81,25.81,5.79,,,,updown_cons_dreg,4.26,4.26,,,
519989.OF,7.37,3.78,25.43,25.43,25.43,3.1,,,,,,,,,
530008.OF,7.86,1.94,24.38,24.36,24.38,2.31,,,,,,,,,
530009.OF,16.87,5.54,27.57,27.56,27.57,4.76,,,,,,,,,
540001.OF,8.24,3.05,28.77,28.76,28.77,2.24,,,,,,,,,
550004.OF,4.38,1.73,27.27,27.28,27.28,1.49,,,,,,,,,
573003.OF,11.73,4.14,25.9,25.9,25.91,2.85,,,,,,,,,
610008.OF,19.79,9.15,31.6,31.59,31.6,3.37,,,,,,,,,
620003.OF,9.31,1.75,32.58,32.57,32.58,2.63,,,,,,,,,
630003.OF,8.54,2.08,23.13,23.12,23.13,2.83,,,,,,,,,
630007.OF,12.43,5.18,23.06,23.05,23.06,5.65,,,,,,,,,
630009.OF,9.07,2.97,25.09,25.11,25.18,4.86,,,,,,,,,
660009.OF,8.51,2.96,27.44,27.43,27.44,2.13,,,加权方式,WLSMAXMIN_CONS_WREG,WLSUPDOWN_CONS_WREG,WLSLINEAR_WREG,WLSREDGE_REG,WLSLASSO_REG,updown_cons_dreg
675081.OF,9.52,3.31,34.55,34.55,34.56,3.02,,,半衰期加权,12.18,4.18,27.37,27.36,27.37,4.26
690002.OF,7.31,3.4,27.87,27.86,27.87,3.74,,,平方根加权,12.08,4.18,27.57,27.56,27.57,4.26
720003.OF,16.26,6.67,27.51,27.51,27.51,8.24,,,,,,,,,
750002.OF,26.01,6.12,34.67,34.61,34.67,8.32,,,,,,,,,
952024.OF,10.53,4.17,22.27,22.26,22.26,3.55,,,,,,,,,
mean,12.08 ,4.18 ,27.57 ,27.56 ,27.57 ,4.26 ,,,,,,,,,
