,R2,R3,R5,R6,R7,R8
007712.OF,10.8,4.32,21.89,21.89,21.89,3.87
007725.OF,12.99,3.56,26.64,26.64,26.67,4.49
007752.OF,11.13,4.58,26.88,26.85,26.88,4.75
007767.OF,17.22,3.87,30.52,30.28,30.51,3.72
007781.OF,17.39,5.5,28.61,28.61,28.61,9.27
007879.OF,12.27,3.95,25.58,25.58,25.62,3.99
007884.OF,8.6,4.26,26.38,26.37,26.38,3.02
020002.OF,16.19,2.5,22.64,22.65,22.64,4.28
020033.OF,6.9,2.89,31.7,31.69,31.7,1.86
040009.OF,14.03,3.71,18.05,18.03,18.04,4.78
040012.OF,16.84,7.01,28.97,28.97,28.97,7.89
040019.OF,5.43,2.25,23.77,23.77,23.77,2.79
040036.OF,9.45,2.33,35.75,35.75,35.75,1.54
050006.OF,12.46,4.14,21.92,21.88,21.92,5.24
050016.OF,9.88,3.64,24.09,24.09,24.1,3.91
050023.OF,16.35,6.29,28.05,28.05,28.05,4.98
070015.OF,13.69,3.04,21.21,21.21,21.21,4.57
070020.OF,8.18,2.72,26.18,26.18,26.18,2.82
080003.OF,10.2,2.84,29.17,29.16,29.17,3.09
090002.OF,6.11,2.51,26.12,26.12,26.12,2.1
090006.OF,7.63,2.2,26.77,26.76,26.78,2.69
100018.OF,11.61,2.25,25.72,25.71,25.75,2.16
100035.OF,8.86,2.7,27.5,27.49,27.5,2.49
110007.OF,11.05,4.04,27.43,27.43,27.43,4.19
110017.OF,9.77,2.55,27.68,27.67,27.68,3.53
110027.OF,7.89,2.82,25.47,25.47,25.47,3.39
110035.OF,14.21,3.11,21.41,21.41,21.41,5.14
121009.OF,9.38,2.85,29.65,29.6,29.62,3.58
121012.OF,5.89,1.66,23,23.02,23.04,2.97
151002.OF,10.06,2.83,24.99,24.98,24.98,3.19
160220.OF,7.81,2.01,30.04,30.03,30.04,2.71
160323.OF,10.96,5.43,27.37,27.36,27.37,3.29
160513.OF,11.35,4.91,22.69,22.68,22.76,4.04
160524.OF,26.37,9.03,31.31,31.32,31.33,12.88
160612.OF,8.88,3.67,28.53,28.53,28.54,4.28
160622.OF,4.61,2.32,21.44,21.45,21.44,2.88
161010.OF,11.69,3.6,21.87,21.87,21.87,4.3
161015.OF,5.54,2.22,13.76,13.72,13.8,2
161019.OF,7.76,3.35,17.01,17.02,17.01,2.67
161115.OF,13.09,5.45,26.73,26.7,26.73,4.86
161216.OF,7.21,2.39,27.89,27.88,27.89,3.35
161505.OF,10.07,4.94,28.44,28.43,28.44,4.6
161603.OF,15.89,4.27,26.62,26.64,26.62,4.97
161618.OF,19.65,8.06,24.41,24.02,24.37,5.59
161626.OF,8.46,4.72,25.69,25.69,25.7,5.55
161722.OF,13.47,2.07,26.13,26.13,26.14,4.02
162205.OF,8.88,2.35,29.72,29.72,29.72,3.51
162210.OF,19.8,7.24,30.59,30.55,30.56,7.69
162215.OF,17.67,5.97,26.05,26.05,26.05,8.66
162414.OF,13.5,4.13,27.95,27.93,27.94,4.59
162712.OF,6.89,2.35,31.64,31.63,31.64,3.04
163003.OF,16.32,2.24,19.69,19.67,19.69,5.22
163806.OF,6.55,1.72,24.43,24.38,24.43,3.67
163811.OF,8.48,2.08,23.04,23.04,23.04,3.92
163819.OF,12.56,3.34,23.93,23.92,23.94,3.86
163825.OF,9.74,2.23,19.34,19.34,19.34,3.52
164105.OF,5.87,3.4,24.25,23.97,23.98,3.52
164208.OF,8.93,3.07,27.44,27.26,27.47,2.65
164606.OF,14.59,6.92,21.55,21.5,21.52,8.34
164808.OF,6.31,2.32,23.76,23.74,23.76,1.72
165311.OF,9.42,3.05,16.82,16.8,16.82,5.33
165526.OF,6.95,3.79,27.91,27.91,27.91,3.82
166010.OF,14.13,5.56,26.32,26.32,26.32,3.75
166105.OF,16.71,3.51,30.67,30.67,30.67,5.14
167003.OF,21.53,8.24,28.78,28.76,28.77,7.41
169106.OF,11.08,3.03,25.09,25.09,25.11,3.19
180015.OF,6.47,3.05,28.35,28.36,28.4,2.66
180025.OF,6.01,2.69,28.44,28.44,28.44,4.62
202101.OF,6.91,1.61,25.16,23.76,25.16,1.12
202102.OF,11.87,2.55,24.41,24.4,24.41,3.56
202105.OF,4.05,1.85,26.23,26.23,26.23,0.94
206003.OF,7.11,3.49,29.91,29.91,29.91,3.67
206008.OF,7.18,3.3,26.17,26.17,26.17,3.72
206018.OF,5.11,1.73,20.58,20.55,20.57,2
210006.OF,22.96,5.83,24.87,24.86,24.87,5.47
210007.OF,13.32,3.03,31.88,31.87,31.87,1.95
210010.OF,17.2,4.09,27.54,27.54,27.54,3.3
213007.OF,25.89,7.37,35.59,35.58,35.59,9.96
217008.OF,8.99,2.07,25.88,25.88,25.88,4.53
217023.OF,9.87,3.6,27.25,27.25,27.26,2.49
217024.OF,11.65,2.29,26.22,26.22,26.22,3.27
233005.OF,4.45,2.3,15.7,15.72,15.7,2.26
233012.OF,7.69,2.79,21.62,21.64,21.66,3.95
240003.OF,5.27,2.68,22.53,22.48,22.53,2.82
240012.OF,12.98,4.72,18.93,18.92,18.93,5.95
253010.OF,23.13,4.21,27.1,27.09,27.1,3.37
253060.OF,10.1,3.13,27.66,27.65,27.66,6.27
270029.OF,4.91,2.1,25.51,25.5,25.5,2.16
310508.OF,9.38,3.74,27.67,27.67,27.67,4.3
320021.OF,16.45,6.22,27.7,27.7,27.7,5.08
340009.OF,5.27,2.91,23.68,23.67,23.68,2.5
350006.OF,24.58,7.46,29.67,29.63,29.64,9.84
360008.OF,11.06,3.45,24.69,24.67,24.69,5.76
371020.OF,13.56,4.88,26,25.99,26,5.14
372010.OF,18.57,6,26.25,26.22,26.23,6.48
380009.OF,8.49,2.46,11.75,11.76,11.75,3.79
395001.OF,14.97,5.4,25.34,25.33,25.34,2.64
395011.OF,18.21,4.45,25.63,25.62,25.63,3.97
400016.OF,9.32,3.41,23.57,23.57,23.58,2.59
400027.OF,7.68,3.08,24.31,24.32,24.32,1.35
410004.OF,5.68,2.74,26.19,26.19,26.23,2.11
420002.OF,9.36,4.25,28.1,28.09,28.1,3.76
420008.OF,20.1,8.94,21.09,21.1,21.1,4.24
420009.OF,6.8,3.43,22.44,22.43,22.44,3.02
450005.OF,9.62,2.37,24.84,24.85,24.86,2.53
450018.OF,12.24,4.32,19.37,19.36,19.38,3.39
470010.OF,13.14,4.45,32.25,32.25,32.25,3.91
470018.OF,7.43,2.44,28.82,28.83,28.84,2.93
470088.OF,7.31,2.42,34.27,34.27,34.27,2.27
485105.OF,8.3,1.71,29.96,29.96,29.96,2.34
485107.OF,10.85,4.4,26.62,26.61,26.62,3.05
485111.OF,14.18,4.41,29.26,29.25,29.28,4.37
501000.OF,17.63,5.26,27.02,27.02,27.02,5.09
501017.OF,7.67,2.4,30.69,30.69,30.68,2.35
501027.OF,8.82,4.6,33.52,33.45,33.52,4.63
501039.OF,15.82,7.47,29.41,29.42,29.42,6.9
501041.OF,25.91,10.42,32.59,32.49,32.55,6.57
501053.OF,13.28,4.58,21.44,21.37,21.42,3.98
519007.OF,8.04,4.45,30.85,30.81,30.81,5.17
519023.OF,23.84,5.67,22.96,23.05,23.02,10.4
519030.OF,9.62,2.56,23.94,23.97,23.98,2.93
519050.OF,9.07,3.45,26.6,26.58,26.59,1.94
519061.OF,27.13,8.78,29.35,29.34,29.35,5.88
519127.OF,9.45,3.24,32.84,32.83,32.84,5.07
519134.OF,7.89,4.27,25.95,25.96,25.97,3.86
519160.OF,7.53,3.81,22.14,22.16,22.16,4.37
519162.OF,18.71,8.3,25.56,25.54,25.56,6.84
519175.OF,8.19,3.72,27.25,27.25,27.25,4.76
519186.OF,12.45,3.86,40.09,40.08,40.08,4.48
519197.OF,14.2,2.99,29.14,29.14,29.15,3.44
519222.OF,11.14,2.69,28.93,28.93,28.93,2.36
519229.OF,6.5,2.05,30.73,30.72,30.72,1.55
519616.OF,12.13,4.29,27.14,27.13,27.14,3.27
519625.OF,12.58,5.27,24.67,24.67,24.68,2.94
519627.OF,12.87,3.32,28.08,28.06,28.07,4.78
519652.OF,17.7,4.46,25.27,25.28,25.3,7.14
519660.OF,24.85,8.19,30.86,30.86,30.87,7.3
519666.OF,22.61,9.27,33.11,33.12,33.17,4.68
519676.OF,13.55,3.75,32.36,32.36,32.36,3.03
519680.OF,3.44,1.92,22.53,22.53,22.53,1.51
519683.OF,23.05,5.71,35.3,35.29,35.3,6.83
519726.OF,11.27,5.47,35.41,35.41,35.41,5.87
519730.OF,9.96,4.72,31.56,31.56,31.57,5.48
519733.OF,13.1,5.5,32.53,31.54,31.54,7.16
519738.OF,5.47,2.56,28.91,28.94,28.96,3.07
519752.OF,5.59,2.06,30.14,30.14,30.14,2.63
519753.OF,10.03,4.87,35.48,35.45,35.46,2.89
519755.OF,6.05,2.12,29.34,29.34,29.37,3.74
519766.OF,6.43,3.67,30.69,30.67,30.69,4.85
519768.OF,5.44,2.55,33.75,33.74,33.75,2.24
519770.OF,6.04,2.25,32.34,32.34,32.34,2.31
519933.OF,10.63,4.88,25.23,25.22,25.23,5.02
519963.OF,12.58,4.51,25.87,25.87,25.87,5.79
519989.OF,7.46,3.77,25.2,25.19,25.2,3.1
530008.OF,7.24,1.93,23.19,23.17,23.19,2.31
530009.OF,16.69,5.52,27.45,27.44,27.44,4.76
540001.OF,8.31,3.09,28.6,28.57,28.6,2.24
550004.OF,4.43,1.75,27.4,27.4,27.4,1.49
573003.OF,11.24,4.15,26.79,26.74,26.76,2.85
610008.OF,21.16,8.57,28.78,28.77,28.78,3.37
620003.OF,9.21,2.03,31.23,31.22,31.23,2.63
630003.OF,8.19,2.14,23.27,23.27,23.27,2.83
630007.OF,12.8,5.35,21.81,21.81,21.81,5.65
630009.OF,8.66,3.36,24.23,24.26,24.29,4.86
660009.OF,8.64,2.88,26.83,26.83,26.91,2.13
675081.OF,10.36,3.31,34.55,34.55,34.56,3.02
690002.OF,7.01,3.05,26.33,26.33,26.34,3.74
720003.OF,15.79,6.81,27.37,27.37,27.37,8.24
750002.OF,25.32,6.12,34.7,34.64,34.7,8.32
952024.OF,11.11,4.12,22.67,22.67,22.68,3.55
mean,12.18 ,4.18 ,27.37 ,27.36 ,27.37 ,4.26 
,12.08 ,4.18 ,27.57 ,27.56 ,27.57 ,4.26 
