,R2,R3,R5,R6,R7,R8
001422.OF,4.29,3.07,32.7,32.68,32.68,2.64
001427.OF,5.26,2.4,29.05,29.04,29.04,2.16
001433.OF,3.85,0.91,26.83,26.84,26.83,1.56
001441.OF,16.59,3.23,33.96,33.95,33.96,7.03
001443.OF,6.42,3.61,34.27,34.26,34.27,3.08
001447.OF,13.73,2.67,21.73,21.72,21.73,3.03
001453.OF,9.77,2.2,25.82,25.82,25.82,1.93
001464.OF,10.9,4.41,31.18,31.18,31.18,2.54
001470.OF,13.32,5.69,28.58,28.58,28.58,4.02
001485.OF,15.02,10.51,27.35,27.35,27.35,7.33
001488.OF,15.07,5.97,30.45,30.45,30.45,6.93
001499.OF,9.85,3.14,31.35,31.15,31.34,2.46
001506.OF,30.88,4.52,32.75,32.74,32.75,4.11
001522.OF,7.41,1.92,25.52,25.52,25.52,2.42
001524.OF,16.66,3.19,24.38,24.38,24.38,2.33
001530.OF,13.94,5.98,24.23,24.21,24.22,4.28
001562.OF,16.12,2.79,31.87,31.86,31.86,5.98
001566.OF,14.85,5.24,22.69,22.67,22.66,2.77
001570.OF,10.22,3.26,23.32,23.29,23.28,2.99
001596.OF,5.1,2.8,24.86,24.84,24.82,2.69
001633.OF,9.17,3.09,24.38,24.37,24.38,2.49
001635.OF,9.72,3.83,31.88,31.92,31.92,3.64
001664.OF,21.99,8.46,34.26,34.26,34.26,7.63
001688.OF,9.41,2.94,26.72,26.72,26.72,2.12
001710.OF,15.21,3.72,31.13,31.12,31.13,3.63
001720.OF,5.31,2.06,24.84,24.84,24.84,2.57
001721.OF,15.28,3.12,33.14,33.13,33.14,3.6
001745.OF,9.36,3.21,30.07,30.07,30.07,3.42
001747.OF,6.03,3.92,34.73,34.72,34.73,3.44
001755.OF,9.32,3.68,27.88,27.89,27.9,3.5
001756.OF,14.68,3.06,27.55,27.55,27.55,3.28
001765.OF,10.16,4.42,27.29,27.27,27.27,3.5
001800.OF,19.07,4.84,20.8,20.67,20.7,6.25
001802.OF,6.53,2.58,22.98,22.98,22.98,3.67
001806.OF,2.35,1.11,30.02,30.02,30.02,1.43
001817.OF,3.78,1.45,31.32,31.32,31.32,1.61
001835.OF,1.83,0.91,26.49,26.49,26.49,1.01
001850.OF,13.8,3.1,31.07,31.07,31.07,2.33
001862.OF,7.79,2.23,22.53,22.52,22.52,4.3
001901.OF,12.74,6.58,27.19,27.19,27.19,8.77
001903.OF,18.57,4.48,27,27,27,5.67
001905.OF,20.99,5.32,28.87,28.84,28.83,9.16
001922.OF,17.1,4.52,31.39,31.38,31.38,4.6
001939.OF,6.66,4.47,32.05,32.04,32.05,4.56
001945.OF,11.88,4.42,23.51,23.5,23.51,4.67
002000.OF,12.51,3.78,25.76,25.76,25.77,2.98
002005.OF,10.73,4.05,29.45,29.45,29.45,4.46
002006.OF,6.7,1.44,24,23.98,24,2.2
002009.OF,9.32,3.07,26.92,26.91,26.92,2.2
002015.OF,9.82,4.41,24.39,24.37,24.39,4.84
002018.OF,10.94,4.66,32.23,32.23,32.24,1.85
002025.OF,7.55,2.74,32.24,32.23,32.24,2.12
002027.OF,6.32,3.02,29.34,29.34,29.34,2.08
002049.OF,10.85,2.16,21.81,21.81,21.81,4.9
002054.OF,6.61,1.95,33.1,33.09,33.09,1.65
002057.OF,7.02,2.55,32.76,32.76,32.78,1.93
002065.OF,18.76,9.05,23.88,23.89,23.9,9.51
002087.OF,8.68,3.53,27.7,27.68,27.69,3.67
002111.OF,19.05,6.57,26.15,26.15,26.15,5.39
002116.OF,12.72,4.21,25.81,25.79,25.81,4.11
002120.OF,12.18,4.16,24.06,23.98,24.06,2.8
002134.OF,11.76,4.03,27.92,27.91,27.92,2.04
002156.OF,7.65,4.7,30.36,30.36,30.36,4.38
002161.OF,14.74,7.16,26.45,26.37,26.38,6.75
002222.OF,8.1,3.83,27.86,27.86,27.87,2.95
002227.OF,8.63,3.09,21.69,21.7,21.75,2.09
002254.OF,11.81,5.01,16.07,16.08,16.08,4.82
002261.OF,11.89,5.97,26.74,26.74,26.74,5.52
002276.OF,20.85,6.75,20.85,20.83,20.86,11.66
002282.OF,8.62,2.93,28.47,28.4,28.42,4.03
002331.OF,11.82,3.99,29.86,29.85,29.86,2.6
002351.OF,10.86,2.33,28.92,28.92,28.92,2.25
002358.OF,16.8,4.97,31.85,31.84,31.86,5.85
002361.OF,10.43,1.95,27.11,27.07,27,2.06
002363.OF,8.21,2.58,29.92,29.91,29.92,2.32
002388.OF,25.89,8.31,34.28,34.28,34.28,8.73
002389.OF,12.42,3.2,31.43,31.43,31.43,4.64
002405.OF,7.02,1.2,23.82,23.82,23.82,4.68
002411.OF,5.65,2.42,36.04,36.03,36.06,2.3
002413.OF,7.36,3.15,28.35,28.35,28.35,1.95
002430.OF,9.73,2.57,28.83,28.84,28.84,3.57
002434.OF,12.54,5.55,27.11,27.11,27.11,6.18
002455.OF,9.06,5.02,35.85,35.85,35.85,4.04
002456.OF,14.88,3.42,35.96,35.96,35.96,4.6
002458.OF,11.52,3.34,29.75,29.76,29.78,3.19
002459.OF,13.7,4.29,23.41,23.43,23.47,4.66
