code,std1,std3,std4,std8,,,,,
001329.OF,5.130907201,5.043110083,5.126272143,4.752668412,,,,,
001331.OF,6.682519865,7.185136495,6.679856554,6.718489613,,,,,
001334.OF,3.879672871,3.636865998,3.878655084,3.537716807,,,,,
001335.OF,7.671518283,7.506781581,7.663348446,7.743599041,,,,,
001336.OF,6.85333036,6.758768964,6.858593339,6.426399078,,,,,
001342.OF,4.404817003,4.740998087,4.407320484,4.475412751,,,,,
001355.OF,19.20453162,19.29911179,19.20244269,19.27586258,,,,,
001358.OF,13.04204219,12.7229768,13.03465649,13.37677427,,,,,
001362.OF,5.482086035,5.923521494,5.480259456,5.708323579,,,,,
001367.OF,11.44585839,11.15223125,11.44340641,11.83608362,,,,,
001370.OF,6.433712685,6.984121445,6.444062989,6.870331109,,,,,
001399.OF,9.742221264,10.01103827,9.73915082,10.12231479,,,,,
001402.OF,4.573380657,4.149567006,4.580505014,4.07405472,,,,,
001405.OF,7.61482315,7.487133116,7.621024126,7.339520005,,,,,
001415.OF,8.476163503,7.640066106,8.477218739,7.746775026,,,,,
001418.OF,12.57497299,12.36988939,12.56621432,12.45865962,,,,,
001422.OF,3.492966689,3.875293931,3.491668702,3.498979393,,,,,
001427.OF,4.597571362,4.841067969,4.593587167,4.906192392,,,,,
001433.OF,4.451067955,4.550517081,4.454598148,4.510363764,,,,,
001441.OF,9.050708737,9.676904375,9.063900862,11.34719879,,,,,
001443.OF,4.994383337,3.917594726,5.005926695,4.076922054,,,,,
001447.OF,11.72822751,12.0668003,11.72399694,12.08644499,,,,,
001453.OF,7.079834223,6.929728613,7.076377859,7.133932358,,,,,
001464.OF,4.574079682,4.52558325,4.57525779,4.243567047,,,,,
001470.OF,9.625807105,8.861415636,9.622714236,9.472850929,,,,,
001485.OF,9.177956202,8.495848077,9.168327552,9.079811823,,,,,
001488.OF,8.81686361,8.467372331,8.820249151,8.521119676,,,,,
001499.OF,7.047623325,7.352043932,7.047228028,7.06151506,,,,,
001506.OF,11.81121855,11.58101744,11.80911837,10.59691433,,,,,
001522.OF,5.724571363,6.246717899,5.721948024,6.128254106,,,,,
001524.OF,10.1469501,10.24865672,10.15459445,10.13517295,,,,,
001530.OF,7.976837288,8.070042768,7.973649533,8.061665724,,,,,
001562.OF,8.355962349,8.750654873,8.363343494,10.84412483,,,,,
001566.OF,8.203254594,7.540130043,8.192211028,7.607369309,,,,,
001570.OF,6.812572509,6.578078122,6.805873925,6.684764346,,,,,
001596.OF,2.631565272,4.10476057,2.636258467,4.075133942,,,,,
001633.OF,4.694941802,4.919962431,4.694839508,4.587482986,,,,,
001635.OF,6.561528083,5.945373006,6.552690114,6.571890015,,,,,
001664.OF,14.45165511,13.57284708,14.45033376,13.51262998,,,,,
001688.OF,7.113512038,7.227235713,7.117041902,6.973481916,,,,,
001710.OF,9.751978203,9.639389821,9.74868426,9.792971297,,,,,
001720.OF,3.455700059,3.357553939,3.454058893,3.319765151,,,,,
001721.OF,7.826793674,7.193308661,7.816820635,7.363740788,,,,,
001745.OF,7.006450029,6.626571941,7.010082023,6.424847122,,,,,
001747.OF,5.262882331,3.974169168,5.301880674,4.061719322,,,,,
001755.OF,4.632816908,4.412362365,4.625608205,4.534067224,,,,,
001756.OF,10.36439698,10.36110782,10.35289865,10.6872613,,,,,
001765.OF,5.862714515,5.795844597,5.8572103,5.948272596,,,,,
001800.OF,14.85590059,13.93696799,14.84733778,14.34607516,,,,,
001802.OF,5.450464754,5.004837321,5.448895233,5.288800869,,,,,
001806.OF,3.469497379,3.800859204,3.472404076,3.538937881,,,,,
001817.OF,3.899601849,4.206027935,3.903178366,4.029937234,,,,,
001835.OF,2.663257903,2.815236648,2.666554197,2.680357987,,,,,
001850.OF,7.54534509,6.990621424,7.54336088,6.969000048,,,,,
001862.OF,4.908069514,4.75147697,4.910325519,4.779474789,,,,,
001901.OF,6.513603014,7.128065558,6.518564756,7.579442145,,,,,
001903.OF,8.688155998,7.388224751,8.653539003,7.469143357,,,,,
001905.OF,11.12933413,11.03418315,11.11093943,11.30201886,,,,,
001922.OF,8.408006241,8.498169682,8.408517927,8.020878671,,,,,
001939.OF,4.773715679,5.529198836,4.772975846,5.126344203,,,,,
001945.OF,6.415512284,5.786301915,6.413823104,6.332466917,,,,,
002000.OF,7.575483786,7.884088376,7.575909578,7.751863638,,,,,
002005.OF,7.407256395,7.769752434,7.408332618,7.475060762,,,,,
002006.OF,5.119521959,5.049179921,5.118479679,4.998310027,,,,,
002009.OF,3.386016342,3.124169982,3.383070459,3.409298076,,,,,
002015.OF,8.218884905,8.586057506,8.215626011,8.406597954,,,,,
002018.OF,8.032219357,8.181979491,8.027470939,8.084759265,,,,,
002025.OF,3.590899598,2.714151697,3.541520554,3.044160088,,,,,
002027.OF,5.082490948,5.198379117,5.078682193,5.061918963,,,,,
002049.OF,9.722720267,10.20067413,9.727169366,10.13872677,,,,,
002054.OF,3.006869809,3.06075567,3.007170086,3.072002012,,,,,
002057.OF,3.568453188,3.838929392,3.56852738,3.873990324,,,,,
002065.OF,13.47593932,12.49135209,13.46708606,13.09279486,,,,,
002087.OF,5.287126085,5.335363014,5.294167675,5.193854173,,,,,
002111.OF,11.11993404,11.1640337,11.11953645,11.32708907,,,,,
002116.OF,8.165028617,7.676328583,8.16099541,8.144296781,,,,,
002120.OF,6.444300693,6.055642912,6.443022091,6.244152761,,,,,
002134.OF,8.538111301,8.267634873,8.53601896,8.167273273,,,,,
002156.OF,4.869265266,4.85676535,4.867453602,4.732899325,,,,,
002161.OF,11.58855691,11.45065972,11.59020158,11.5505426,,,,,
002222.OF,4.529472639,4.428029176,4.530264225,4.354903792,,,,,
002227.OF,5.603118,5.041638076,5.595966032,5.492370949,,,,,
002254.OF,9.082435605,8.091032051,9.095568797,8.390627013,,,,,
002261.OF,6.906030658,6.514702527,6.904865743,6.767286068,,,,,
002276.OF,18.97329366,17.50208209,18.96505476,18.03218403,,,,,
002282.OF,6.721710249,6.349752158,6.722398844,6.184939973,,,,,
002331.OF,6.956000957,6.801502652,6.962612308,6.782170835,,,,,
002351.OF,9.764568345,9.397512478,9.760488854,9.509048448,,,,,
002358.OF,11.11828871,11.94908187,11.11969796,12.27939985,,,,,
002361.OF,5.642660608,4.747253085,5.647039598,4.931249933,,,,,
002363.OF,3.648853444,3.209109387,3.610937017,3.531621484,,,,,
002388.OF,15.5283784,14.81933201,15.51944533,16.21772492,,,,,
002389.OF,5.828894904,6.742121705,5.825834258,6.451675162,,,,,
002405.OF,7.155654755,7.096932093,7.151044933,7.292966356,,,,,
002411.OF,2.149231322,2.505193607,2.154239949,2.544208652,,,,,
002413.OF,3.65292063,4.020975149,3.664156112,3.902437989,,,,,
002430.OF,5.355610741,4.994456613,5.360269489,5.148196007,,,,,
002434.OF,8.894048347,8.205288255,8.888933733,8.439542787,,,,,
002455.OF,5.571792323,5.096113953,5.565956982,5.186015383,,,,,
002456.OF,8.69449408,8.483967861,8.692599927,8.858049038,,,,,
002458.OF,6.416436013,6.033569473,6.420870481,6.11189759,,,,,
002459.OF,8.961238549,8.14243885,8.973145666,8.405868175,,,,,
002461.OF,5.127735806,5.106098836,5.127960973,5.335497498,,,,,
002474.OF,12.37868459,11.96378635,12.37444604,11.96909344,,,,,
002475.OF,9.755580259,11.38812595,9.8020346,10.14554073,,,,,
002489.OF,6.589516167,7.190220434,6.592303675,7.06762717,,,,,
002490.OF,8.776301551,7.763974975,8.778519126,8.053304968,,,,,
002498.OF,4.551503353,4.307706781,4.550123735,4.395439185,,,,,
002501.OF,9.270138321,8.895068791,9.270344945,8.930643729,,,,,
002502.OF,5.208460107,5.497061777,5.212822249,5.611428486,,,,,
002514.OF,4.171480726,5.181870388,4.181480042,5.237152213,,,,,
002518.OF,13.49276789,13.23527645,13.48999436,13.63234764,,,,,
002521.OF,4.527335828,3.237231375,4.532823683,3.326938763,,,,,
002535.OF,6.633551696,5.683854103,6.625938859,6.506529371,,,,,
002574.OF,7.129406802,6.982700948,7.118507539,6.987566345,,,,,
002586.OF,17.6900842,15.68019806,17.69312511,16.62783913,,,,,
002600.OF,7.455268271,7.755726205,7.458407577,7.876779728,,,,,
002602.OF,13.13854271,13.18245475,13.14691307,12.59682037,,,,,
002612.OF,7.569138649,7.561897722,7.574073416,7.8507637,,,,,
002614.OF,10.2056915,10.34243203,10.20179515,11.39616867,,,,,
002616.OF,8.364817261,8.656954483,8.370363238,8.743933302,,,,,
002618.OF,3.99164999,3.129675123,3.984094708,3.454826396,,,,,
002622.OF,12.04505484,11.71604762,12.04635096,11.44828378,,,,,
002636.OF,15.83720748,14.39112406,15.82491673,15.72969401,,,,,
002639.OF,9.39294644,8.872070366,9.391978558,9.463413155,,,,,
002644.OF,13.09028598,13.86223281,13.08446699,13.40194212,,,,,
002651.OF,5.673925384,5.392277161,5.674483382,5.612402273,,,,,
002657.OF,5.586337111,5.946339395,5.587427422,5.969638172,,,,,
002664.OF,8.019118337,7.568408914,8.015687459,7.991759318,,,,,
002690.OF,11.23448802,10.94474066,11.22884745,10.78204425,,,,,
002701.OF,5.471191964,5.182470918,5.470610686,5.37730616,,,,,
002711.OF,8.886455265,7.559735914,8.886785108,8.05534709,,,,,
002714.OF,8.095635592,8.197240869,8.091535156,7.933896151,,,,,
002720.OF,6.233400255,5.545566426,6.276422733,5.696158099,,,,,
002723.OF,4.348769536,3.887596786,4.343460101,4.208942622,,,,,
002728.OF,3.202454275,3.688790883,3.201619071,3.637371239,,,,,
002734.OF,8.054141552,7.833173729,8.053917147,8.013288134,,,,,
002738.OF,1.966473927,2.071784273,1.968921763,2.112730598,,,,,
002749.OF,12.0287809,10.85490135,12.02731682,11.34562141,,,,,
002767.OF,2.618745531,2.62868327,2.614426773,2.792234818,,,,,
002776.OF,8.104260418,9.610591604,8.116695645,9.174519356,,,,,
002783.OF,5.204128043,5.183694398,5.213509021,5.171147035,,,,,
002792.OF,3.760233924,4.329882078,3.758862292,3.882687584,,,,,
002796.OF,7.489546255,7.001230566,7.484707105,7.375351637,,,,,
002813.OF,10.78689655,10.59293736,10.77543468,10.67035585,,,,,
002819.OF,5.336246736,5.453635388,5.331818505,5.623834948,,,,,
002826.OF,10.76875859,9.446488209,10.7634729,10.66416883,,,,,
002838.OF,14.32412572,15.50984091,14.31735988,15.29276821,,,,,
002901.OF,4.312635335,3.440132126,4.307669178,3.780929534,,,,,
002908.OF,6.541351128,5.061181958,6.523587156,5.931798832,,,,,
002925.OF,10.0193168,10.43006833,10.02414437,10.11187611,,,,,
